Latitude,Longitude,Depth,Magnitude,Magnitude Type
48.256,154.425,45.8,5.8,0
-38.747,178.061,30,5.9,1
31.525,80.487,20,6.7,1
31.422,80.554,20,6.3,1
37.156,114.875,25,6.5,1
-13.696,166.555,35,6.2,1
1.903,126.334,35,6.2,1
1.742,126.337,35,5.6,0
-19.991,-68.842,108.6,5.8,0
24.122,122.583,30,7.5,1
-21.149,-179.093,625,6.7,1
-52.655,19.709,10,5.6,0
0.622,29.863,29.3,6.6,1
-21.176,-174.429,25,5.6,0
37.535,115.039,20,6.2,1
37.545,115.061,20,6.8,1
23.973,122.938,49.5,6.2,1
-13.626,166.829,30,5.9,1
37.714,115.275,20,6,1
37.798,115.096,20,5.9,1
8.865,-83.467,25,5.7,0
23.869,142.248,80,6,1
37.464,115.127,20,6,1
36.617,141.121,48.5,5.7,0
12.01,92.483,10,5.8,0
-45.685,96.003,10,6.3,1
56.382,-154.604,26.2,5.6,0
26.199,127.507,49.7,5.7,0
51.301,157.703,46.6,6.2,1
9.409,-84.282,25,5.8,0
-14.074,166.724,55,5.7,0
-31.452,-71.049,60.5,6.1,1
18.113,-102.557,30,5.7,0
-38.231,-72.695,35,6.3,1
-38.194,-73.198,45,5.9,1
56.896,-153.601,15,6.2,1
18.82,147.221,25,6,1
41.703,48.238,20,6,1
35.581,142.171,10,6,1
35.6,142.037,10.9,5.9,1
-37.656,-73.428,21.4,5.9,1
57.271,-152.483,20.9,5.8,0
-0.711,122.191,20,6.5,1
-0.57,122.235,35,6.1,1
-8.341,-74.142,161,6.4,1
-5.996,149.735,35,6.1,1
-8.495,114.967,105,5.6,0
24.298,122.595,50,6.2,1
34.425,26.455,25,6,1
48.888,156.275,24.7,6.2,1
48.848,156.288,25.7,5.6,0
48.853,156.133,20.6,5.8,0
34.023,138.983,10,5.7,0
51.41,-178.291,35.1,6.1,1
-6.974,129.352,201.1,5.7,0
-44.195,-75.478,19.5,5.6,0
24.97,-109.085,20,5.9,1
53.934,-164.122,32.3,6,1
13.901,146.481,25,6.1,1
19.374,122.147,60,5.5,0
30.081,139.992,20,5.7,0
13.894,146.41,25,5.7,0
-6.384,131.044,65,5.7,0
-21.658,169.814,35,5.7,0
-52.772,160.124,10,6.1,1
24.274,122.631,50,5.8,0
-23.461,-174.657,15,5.8,0
50.993,175.957,20.6,5.5,0
-0.047,123.13,140,5.8,0
46.418,152.735,39.1,6,1
-14.929,167.839,15,5.6,0
36.421,71.224,215.6,6.6,1
9.528,126.505,25,6,1
-14.828,-75.835,20,6.2,1
24.328,122.66,35,5.6,0
11.323,139.593,35,6.8,1
44.238,147.766,93.2,5.7,0
51.399,-178.35,35,5.6,0
-21.242,174.342,25,6.1,1
-12.191,167.132,241.6,6.7,1
-10.318,161.006,45,7.1,1
-10.061,161.149,45,6.8,1
-10.033,160.937,45,5.9,1
-10.172,160.85,45,5.7,0
-11.022,165.171,30,5.8,0
50.164,157.767,45.5,5.5,0
-7.24,124.583,531.8,7,1
43.726,140.19,225,5.6,0
29.504,80.845,25.9,6,1
29.543,80.915,25,5.7,0
29.706,80.935,25,6.3,1
-38.36,177.139,115,5.6,0
-13.794,166.644,45,6,1
24.739,122.414,112.5,6.4,1
51.745,176.296,30,5.8,0
51.826,179.778,15,6.8,1
51.867,-179.88,15,5.8,0
24.303,125.186,35.6,6.1,1
-19.474,-173.254,25,6,1
44.707,37.272,39.3,5.7,0
56.241,164.754,15,6.4,1
51.748,-173.478,29.7,5.6,0
-17.757,-178.55,594.4,6.4,1
51.664,-173.677,31.3,5.7,0
-24.16,-70.082,33.5,5.8,0
29.937,68.778,20.2,6,1
29.906,68.681,25,6.2,1
29.988,68.588,25,6.9,1
-10.987,162.767,35,5.7,0
50.513,-171.301,19.7,6.9,1
-10.692,161.237,35,5.6,0
31.0395,-113.7773333,6,6.35,1
19.279,-108.27,30,6,1
-20.161,-175.228,98.8,6,1
-23.495,-175.808,35,5.9,1
52.563,-161.63,17.2,5.8,0
28.565,78.961,27,5.6,0
13.295,121.467,19.8,6,1
3.487,64.014,10,6,1
36.395,70.903,196.4,5.8,0
37.38,-114.157,10,5.7,0
-21.343,171.484,15,6.2,1
-5.026,125.119,540,5.7,0
52.156,175.053,41.9,5.6,0
14.478,-91.84,68.4,5.8,0
-0.111,125.071,55,6.1,1
-0.007,125.026,32.5,6,1
39.235,41.572,24.7,6.8,1
-3.195,-77.166,113.3,5.7,0
42.981,140.708,159.4,5.8,0
39.438,41.094,25,6.2,1
-23.734,-175.678,35,6.1,1
8.48,126.645,35,6,1
-1.741,134.06,25,5.9,1
-22.499,170.742,20,6.3,1
23.873,123.228,25,5.7,0
-27.693,-177.185,55,5.8,0
-22.128,170.04,10,6,1
-36.094,178.575,170,5.7,0
61.197,-147.781,29.6,5.6,0
2.388,128.49,115,7.7,1
45.401,150.549,35,5.6,0
6.761,-72.976,161.1,5.9,1
-22.987,170.75,15,6.3,1
39.385,-120.252,10,5.9,1
-60.244,-27.199,20,6.7,1
-60.256,-26.922,20,6.2,1
22.924,121.507,30,6.2,1
27.775,54.227,20,5.7,0
18.261,-100.985,80.3,6,1
27.419,92.576,14.4,5.9,1
27.412,100.103,20,6.3,1
-21.558,170.596,150,6.9,1
61.58,-150.126,55,5.6,0
-16.654,-177.279,15,6.1,1
-60.354,-26.485,20,6.1,1
-11.793,121.601,20,6,1
-31.241,-177.747,25,5.8,0
29.734,142.669,15,5.7,0
-56.111,-27.62,100,5.7,0
-10.665,-78.228,40,8.1,1
-1.571,-15.611,15,7,1
-18.319,167.58,35,5.7,0
22.232,145.978,10,6.7,1
38.796,21.242,25,5.9,1
19.102,-67.878,26.5,6,1
-15.37,-175.109,15,6.4,1
-31.973,-68.301,113,6.1,1
52.141,-169.158,29.2,5.6,0
-23.822,-67.863,135,5.6,0
41.746,144.389,32.5,6,1
-15.681,167.258,35,6.3,1
17.042,-61.885,79.4,5.6,0
48.019,146.857,460,5.9,1
-57.964,-25.518,35,5.8,0
-14.851,167.051,35,5.9,1
-25.563,-70.497,51.8,5.7,0
6.6,-82.746,16.7,5.6,0
-13.954,167.045,125,6.8,1
3.251,128.174,75,5.7,0
44.475,151.655,15,5.9,1
14.351,-91.963,70,5.7,0
-3.424,145.703,25,6.3,1
-4.928,144.05,65,6.3,1
21.487,94.322,94.3,5.7,0
29.535,80.823,20,5.7,0
-26.123,-63.152,578,6.3,1
37.3021667,-116.4083333,1.2,5.62,0
-19.98,169.834,230,6.3,1
-7.039,148.256,30,6.6,1
37.126,141.202,55.3,5.6,0
-25.494,-70.55,25,7.7,1
-32.838,-111.783,10,5.6,0
-12.091,166.552,55,7.8,1
-12.326,166.491,35,7.1,1
-15.237,-173.608,30,6.5,1
-11.2,165.416,30,5.9,1
-10.187,28.424,29.1,5.6,0
-12.347,166.221,30,6,1
-11.093,165.668,30,6.1,1
-11.112,165.536,30,5.6,0
-12.376,166.473,30,5.8,0
20.318,120.114,21.6,5.6,0
10.881,-62.33,92.6,5.5,0
48.168,103.036,13.2,7,1
48.477,103.021,17.5,5.8,0
48.04,103.013,17.5,5.9,1
41.878,143.482,39.3,5.9,1
-1.461,126.477,30,5.6,0
-48.873,112.803,15,6,1
11.854,142.866,15,5.7,0
-0.149,120.033,35,5.7,0
33.989,45.738,35,6.1,1
-10.515,161.406,40,6.2,1
-11.248,165.623,30,6,1
-27.335,-63.204,590.9,6.2,1
38.244,142.152,45.8,6.6,1
56.564,120.947,25,5.5,0
52.565,-168.501,26,5.9,1
-11.903,166.494,140,5.9,1
48.105,103.064,20,6.4,1
-49.917,-114.881,25,6.3,1
19.973,-109.129,30,6,1
41.5,142.2,68,5.7,0
-0.922,-21.081,10,6.5,1
36.715,71.625,273.2,6,1
52.45,-169.603,35,6.8,1
52.288,-169.353,35,5.6,0
52.242,-169.468,39.9,5.8,0
26.107,96.115,25,5.6,0
2.619,-84.363,10,5.6,0
-57.94,-25.663,65,6.1,1
-5.542,110.478,550,5.6,0
56.521,-157.326,62,5.7,0
2.849,-74.798,55,7,1
52.812,-34.14,10,7,1
13.555,96.463,30,6.8,1
-13.303,171.408,630,5.8,0
-9.163,-71.274,600.4,7,1
-23.878,-175.078,15,6.5,1
-5.873,153.267,35,5.6,0
-8.965,113.017,80,6.3,1
-0.072,124.213,95,5.9,1
33.617,75.333,20,5.5,0
-19.516,169.216,90.6,5.8,0
26.184,128.611,31.9,6,1
-0.077,123.947,75,5.9,1
-0.114,123.969,80,5.9,1
32.608,141.649,25,6,1
-0.214,-78.595,118.9,6,1
21.398,121.823,131.1,5.7,0
-18.558,-175.286,226.7,5.7,0
39.1,24.684,15,6.6,1
-10.617,166.198,15,5.9,1
-10.622,166.333,15,5.9,1
-10.821,166.388,55,5.9,1
19.263,-95.801,28.7,5.9,1
-40.17,-74.722,20,5.7,0
19.581,38.874,20,5.6,0
28.463,94.248,16.9,5.7,0
-3.575,150.909,25,6.2,1
-6.075,146.354,110,5.7,0
-6.727,129.744,97.7,6.2,1
45.527,151.188,40,6.7,1
45.672,151.301,35,5.8,0
45.438,151.511,34.5,5.7,0
-5.972,112.225,598,6.7,1
45.201,151.551,30.4,5.9,1
-9.182,148.623,20,5.7,0
38.474,116.608,29.7,6.1,1
-16.438,168.214,15,6.4,1
-11.114,115.227,15,6.2,1
45.718,151.83,35,6.1,1
45.661,151.789,45,5.8,0
45.617,151.703,29.8,6.1,1
-6.024,151.499,22.5,5.9,1
